id,anio,autor_principal,relacion,doi,titulo_oficial,autores,n_autores,revista,issn,editorial,tipo_publicacion,volumen,numero,paginas,fecha_publicacion,citas_crossref,citas_openalex,n_referencias,acceso_abierto,licencia,paises_openalex,instituciones_openalex,conceptos_openalex,financiacion,openalex_id,fuente_metadatos
123,2026,Yamada,A,10.3390/electronics15102005,Multimodal Automatic Music Transcription Using Piano Audio and Hand-Skeleton Information,"Kosuke Yamada (School of Computer Science and Engineering, The University of Aizu, Fukushima 965-8580, Japan) | Satoshi Nishimura (School of Computer Science and Engineering, The University of Aizu, Fukushima 965-8580, Japan) | Jungpil Shin (School of Computer Science and Engineering, The University of Aizu, Fukushima 965-8580, Japan)",3,Electronics,2079-9292,MDPI AG,journal-article,15,10,2005,2026-5-8,0,0,15,True,https://creativecommons.org/licenses/by/4.0/,JP,University of Aizu,Piano(0.74); Computer science(0.72); MIDI(0.68); Transcription (linguistics)(0.68); Robustness (evolution)(0.63); Speech recognition(0.59),,W7160852273,crossref+openalex
124,2026,Li,A,10.1038/s41598-026-44473-w,Multimodal generative adversarial networks for piano fingering correction and performance expressiveness modeling through audio-visual feature fusion,Junyu Li,1,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-3-26,0,0,55,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Nanjing Xiaozhuang University,Computer science(0.85); Piano(0.69); Generative grammar(0.62); Latency (audio)(0.50); Feature (linguistics)(0.49); Artificial intelligence(0.48),,W7140459868,crossref+openalex
126,2026,Suwansomboon,B,10.59796/rmj.V21N2.2026.R0913,Music Learning Among Digital Native Learners in Thai Higher Education,Wathit Suwansomboon | Ampai Buranaprapuk,2,Rangsit Music Journal,3027-7094,Rangsit University,journal-article,21,2,,2026-8-14,0,0,15,True,https://creativecommons.org/licenses/by-nc-nd/4.0,TH,Mahidol University,Snowball sampling(0.66); Grounded theory(0.65); Higher education(0.62); Music education(0.59); Curriculum(0.56); Pedagogy(0.56),,W7203533446,crossref+openalex
127,2026,Wang,B,10.3390/bs16081456,Music Learning Self-Efficacy and Deliberate Music Practice: The Mediating Role of Achievement Goal Orientation and the Moderating Role of AI Literacy,"Shihan Wang (Faculty of Education, Northeast Normal University, 5268 Renmin Street, Changchun 130024, China) | Ziqiao Wang (Faculty of Education, Northeast Normal University, 5268 Renmin Street, Changchun 130024, China; School of Teacher Education, Yanbian University, 977 Gongyuan Road, Yanji 133002, China) | Baoqian Yang (Faculty of Education, Northeast Normal University, 5268 Renmin Street, Changchun 130024, China) | Lifang Tang (Faculty of Education, Northeast Normal University, 5268 Renmin Street, Changchun 130024, China)",4,Behavioral Sciences,2076-328X,MDPI AG,journal-article,16,8,1456,2026-8-21,0,0,52,True,https://creativecommons.org/licenses/by/4.0/,CN,Northeast Normal University; Yanbian University,Psychology(0.82); Music education(0.60); Association (psychology)(0.60); Goal orientation(0.53); Cognition(0.44); Social psychology(0.39),,W7203887405,crossref+openalex
128,2026,Ma,C,10.1038/s41598-026-50223-9,Music and body motion contribute asymmetrically to emotion perception in traditional Chinese plucked-instrument performance,Kaiyuan Ma | Biyun Zhang | Jun He,3,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-5-23,0,0,83,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Shanghai Jiao Tong University; Shanghai Conservatory of Music,Percept(0.89); Embodied cognition(0.78); Perception(0.66); Motion (physics)(0.59); Valence (chemistry)(0.55); Cognitive psychology(0.53),,W7162200838,crossref+openalex
129,2026,Wang,A,10.1007/s44163-026-00832-0,Music teaching evaluation using multimodal deep reinforcement learning,Zhengzheng Wang,1,Discover Artificial Intelligence,2731-0809,Springer Science and Business Media LLC,journal-article,6,1,,2026-1-27,2,2,42,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Shaoxing University,Computer science(0.74); Reinforcement learning(0.64); Limiting(0.61); Transparency (behavior)(0.56); Benchmark (surveying)(0.50); Artificial intelligence(0.46),,W7125786115,crossref+openalex
131,2026,He,B,10.28991/HIJ-2026-07-02-011,Music-Driven Enhanced Dance Performance Generation by Integrating Seq2Seq and Human Pose Recognition,Wen He,1,HighTech and Innovation Journal,2723-9535,Ital Publication,journal-article,7,2,532-546,2026-6-1,0,0,0,True,,CN,Chengdu Sport University,Dance(0.74); Computer science(0.68); Artificial intelligence(0.56); Motion capture(0.52); Computer vision(0.48); Naturalness(0.46),,W7166583943,crossref+openalex
132,2026,Sonbua,C,10.11114/smc.v14i3.8384,Nostalgia-Driven Gamification as a Digital Media Strategy for Enhancing Exercise Engagement among Older Adults in an Aging Society,Sudarat Sonbua | Ratanachote Thienmongkol | Chatklaw Jareanpon,3,Studies in Media and Communication,"2325-808X,2325-8071",Redfame Publishing,journal-article,14,3,63,2026-3-16,0,0,0,True,,TH,Mahasarakham University,Digital media(0.62); Psychology(0.61); Usability(0.60); Motion capture(0.50); Applied psychology(0.47); Multimedia(0.46),,W7138302471,crossref+openalex
133,2026,CasesBerbel,B,10.23817/lingtreff.29-3,Kinderlieder in Translation: Funktionale Äquivalenz jenseits des Semantischen,,,DOAJ (DOAJ: Directory of Open Access Journals),,,,,,,,,0,0,False,,,,Gesture(0.85); German(0.70); Psychology(0.55); Linguistics(0.52); Early childhood(0.42); Cognition(0.41),,W7166845150,crossref+openalex
134,2025,Obi,C,,,,,,,,,,,,,,,,,,,,,,,sin_doi
136,2026,Liu,B,10.1038/s41598-026-54211-x,Optimization of attention mechanisms in choral conducting education using EEG and eye movement tracking with transfer learning algorithms,Peirong Liu,1,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-5-27,0,0,70,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Huangshi Central Hospital,Computer science(0.74); Transfer of learning(0.65); Eye tracking(0.64); Tracking (education)(0.60); Eye movement(0.56); Artificial intelligence(0.54),,W7162504942,crossref+openalex
139,2026,He,B,10.1007/s44163-026-01235-x,Optimization of music teaching effects based on AI audio processing technology,Jinxu He,1,Discover Artificial Intelligence,2731-0809,Springer Science and Business Media LLC,journal-article,6,1,,2026-7-1,0,0,33,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Henan University of Technology,Process (computing)(0.20); Identification (biology)(0.19); Computer science(0.19); Product (mathematics)(0.19); Work (physics)(0.18); Context (archaeology)(0.17),,W7166849651,crossref+openalex
141,2026,Paredes-Ventura,C,10.29352/mill0230.41727,Impact of Artificial Intelligence on education: a systematic review of literature,,,Dialnet (Universidad de la Rioja),,,,,,,,,0,0,True,,PE,Private University of the North,Personalization(0.65); Systematic review(0.54); Standardization(0.48); Computer science(0.47); Process (computing)(0.45); Quality (philosophy)(0.43),,W7163178020,crossref+openalex
142,2026,Feng,D,10.1057/s41599-026-06537-0,"Piano accompaniment: exploring the role of information dynamics, communication practices and cultural influence",Yiran Feng,1,Humanities and Social Sciences Communications,2662-9992,Springer Science and Business Media LLC,journal-article,13,1,,2026-1-23,2,2,53,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Leshan Normal University,Piano(0.76); Psychology(0.58); Interpersonal communication(0.53); Music education(0.47); Mentorship(0.43); Musical(0.42),,W7125472363,crossref+openalex
144,2026,Chuluunsaikhan,A,10.1007/s11042-026-21667-y,Piano keyboard detection algorithm using deep learning,Tserenpurev Chuluunsaikhan | So-Hyun Park,2,Multimedia Tools and Applications,1573-7721,Springer Science and Business Media LLC,journal-article,85,5,,2026-5-8,0,0,37,False,https://www.springernature.com/gp/researchers/text-and-data-mining,KR,Chungbuk National University; Dongguk University,Piano(0.96); Computer science(0.87); Pixel(0.67); Artificial intelligence(0.59); Image (mathematics)(0.51); Computer vision(0.51),,W7160658623,crossref+openalex
145,2025,AhmadFauzi,C,10.14421/ijber.v2i2.11619,AI-Integrated Pedagogies in Primary Education: A Decade of Global Trends and Strategic Adaptation for Indonesia’s Curriculum Transformation,Wildan Nuril Ahmad Fauzi | Yuli Setiawati | Deni Puji Hartono | Moh Rosyid Mahmudi | Mulyo Prayitno,5,International Journal of Basic Educational Research,3047-0722,Al-Jamiah Research Centre,journal-article,2,2,57-70,2025-8-7,0,0,0,True,,ID,Yogyakarta State University; Sunan Kalijaga State Islamic University Yogyakarta; Universitas Palembang; Universitas PGRI Palembang; Universitas Dharmas Indonesia; Universitas Safin Pati,Adaptation (eye)(0.78); Curriculum(0.78); Transformation (genetics)(0.62); Pedagogy(0.37); Mathematics education(0.37); Political science(0.37),,W4413026042,crossref+openalex
146,2026,Zhang,B,10.30775/KMES.55.1.331,Research on Artificial Intelligence-Related Studies in Chinese Music Education: A Systematic Analysis Based on the Literature From 2017 to 2025, | Kailin Zhang,2,Korean Music Education Society,,Korean Music Education Society,journal-article,55,1,331-354,2026-2-28,0,0,0,True,,KR,Seoul National University,Computer science(0.42); Linguistics(0.37); Artificial intelligence(0.35); Psychology(0.31); Natural language processing(0.30); Feature (linguistics)(0.29),,W7138479002,crossref+openalex
147,2025,Li,B,10.70917/ijcisim-2025-0301,Research on the Innovative Inheritance Application of Artificial Intelligence Technology in Traditional Music Education and Strategies to Enhance the Aesthetic Experience,Ning Li,1,International Journal of Computer Information Systems and Industrial Management Applications,"2150-7988,2150-7988","Cerebration Science Publishing Co., Limited",journal-article,17,,15,2025-12-30,0,0,0,True,https://creativecommons.org/licenses/by/4.0/,CN,Zhengzhou Normal University,Inheritance (genetic algorithm)(0.81); Music and artificial intelligence(0.62); Melody(0.46); Music education(0.42); Pop music automation(0.42); Music technology(0.37),,W7128540422,crossref+openalex
148,2025,Liu,B,10.4018/IJDET.384398,Research on the “VR+” Music Education Model and Its Practice in the Context of the Internet,"Lin Liu (Xinxiang Vocational and Technical College, China)",1,International Journal of Distance Education Technologies,"1539-3100,1539-3119",IGI Global Scientific Publishing,journal-article,23,1,1-16,2025-7-9,0,0,22,True,http://creativecommons.org/licenses/by/3.0/deed.en_US,,,The Internet(0.73); Computer science(0.69); Context (archaeology)(0.68); Multimedia(0.51); Mathematics education(0.36); World Wide Web(0.32),,W4412348279,crossref+openalex
149,2026,Mao,C,10.1038/s44172-026-00653-0,Robust bionic distributed multimodal flexible sensor for extreme-condition sensing and intelligent operation,Baijin Mao | Yedong Huang | Yuyaocen Xiang | Wenbo Liu | Xunlong Shi | Xiang Qian | Juntian Qu,7,Communications Engineering,2731-3395,Springer Science and Business Media LLC,journal-article,5,1,,2026-4-2,0,0,52,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,University Town of Shenzhen; Tsinghua University; Tsinghua–Berkeley Shenzhen Institute; Fujian Institute of Oceanography; Ocean University of China,Computer science(0.53); Artificial intelligence(0.38); Engineering(0.33); Feature (linguistics)(0.31); Computer vision(0.30); Robustness (evolution)(0.28),,W7148238641,crossref+openalex
151,2026,Abdullah,D,10.17576/JKMJC-2026-4202-26,Digital Intercultural Learning for Competence Development: A Comprehensive Structured Review,"Nor Hafizah Abdullah (Universiti Sultan Zainal Abidin, Malaysia) | Nazra Aliff Nazri Aliff Nazri (Universiti Sultan Zainal Abidin, Malaysia) | Norhidayu Hasan (Universiti Sultan Zainal Abidin, Malaysia) | Norhayati Che Hat (Universiti Sultan Zainal Abidin, Malaysia) | Faradillah Iqmar Omar (Universiti Islam Selangor, Malaysia)",5,Jurnal Komunikasi: Malaysian Journal of Communication,2289-1528,Penerbit Universiti Kebangsaan Malaysia (UKM Press),journal-article,42,2,473-493,2026-6-30,0,0,0,True,,MY,Sultan Zainal Abidin University; Selangor Islamic University,Intercultural competence(0.79); Experiential learning(0.63); Intercultural communication(0.61); Psychology(0.56); Competence (human resources)(0.51); Pedagogy(0.47),,W7169853778,crossref+openalex
152,2026,Yang,A,10.1038/s41598-026-45945-9,Self-supervised multimodal transformer for fine-grained detection of controlled perturbation events in piano performance,Kun Yang | Jitao Chen,2,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-6-8,0,0,46,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Guangxi Normal University for Nationalities,Piano(0.72); Computer science(0.67); Transformer(0.62); Perturbation (astronomy)(0.58); Speech recognition(0.43); Control theory (sociology)(0.41),Guangxi Minzu Normal University; Guangxi Minzu Normal University,W7163812425,crossref+openalex
153,2025,Samma,C,10.1371/journal.pone.0321442,Sight-over-sound effect depends on interaction between evaluators’ musical experience and auditory-visual integration: An examination using Japanese brass band competition recordings,Tomohiro Samma | Kazuaki Honda | Shinya Fujii,3,PLOS One,1932-6203,Public Library of Science (PLoS),journal-article,20,4,e0321442,2025-4-29,4,4,81,True,http://creativecommons.org/licenses/by/4.0/,JP,Keio University Shonan Fujisawa,Musical(0.67); Sight(0.67); Sound (geography)(0.54); Psychology(0.53); Brass(0.52); Audiology(0.44),Taikichiro Mori Memorial Research Grants; Japan Science and Technology Corporation; Japan Society for the Promotion of Science; Japan Society for the Promotion of Science; Keio University Academic Development Funds; Toyama Memorial Music Research Foundation,W4409908824,crossref+openalex
154,2025,Sinergie,D,,Tertiarization & sustainability new challenges for management in the digital era,,,Sinergie Italian Journal of Management,,,,,,,,,4,0,True,,,,Sustainability(0.76); Business(0.42); Environmental resource management(0.35); Environmental planning(0.33); Environmental science(0.22); Biology(0.08),,W4412648599,openalex(title)
155,2025,Martins,D,10.1002/sd.3374,The Role of Hybrid Learning in Achieving the Sustainable Development Goals,"Flavio Martins (Bartlett School of Sustainable Construction University College London  London UK; Laboratory of Environmental and Experimental Pathology LIM05—Hospital das Clinicas HCFMUSP Faculdade de Medicina Universidade de Sao Paulo  Sao Paulo Brazil) | Luciana Oranges Cezarino (Ca'Foscari University of Venice  Venice Italy) | Geiser Chalco Challco (Center of Excellence in Social Technologies (NEES) Federal University of Alagoas (UFAL)  Maceió Brazil) | Lara Liboni (Ivey Business School Western University  London Canada) | Diego Dermeval (Center of Excellence in Social Technologies (NEES) Federal University of Alagoas (UFAL)  Maceió Brazil) | Ibsen Bittencourt (Center of Excellence in Social Technologies (NEES) Federal University of Alagoas (UFAL)  Maceió Brazil) | Ranilson Paiva (Center of Excellence in Social Technologies (NEES) Federal University of Alagoas (UFAL)  Maceió Brazil) | Alan da Silva (Center of Excellence in Social Technologies (NEES) Federal University of Alagoas (UFAL)  Maceió Brazil) | Leonardo Marques (Center of Excellence in Social Technologies (NEES) Federal University of Alagoas (UFAL)  Maceió Brazil) | Seiji Isotani (Center of Excellence in Social Technologies (NEES) University of São Paulo  São Paulo Brazil) | Ig Ibert Bittencourt (Harvard Graduate School of Education (HGSE), Center of Excellence in Social Technologies (NEES) Federal University of Alagoas (UFAL)  Maceió Brazil)",11,Sustainable Development,"0968-0802,1099-1719",Wiley,journal-article,33,4,4792-4809,2025-2-7,6,5,105,True,http://creativecommons.org/licenses/by-nc/4.0/,"BR,CA,GB,IT",Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo; University College London; Ca' Foscari University of Venice; Universidade Federal de Alagoas; Western University; Ivey Business School; Universidade de São Paulo,Workforce development(0.53); Equity (law)(0.53); Sustainable development(0.52); Promotion (chess)(0.52); Knowledge management(0.48); Hybrid learning(0.42),,W4407255863,crossref+openalex
156,2026,Koca,B,10.3390/su18073640,Sustainable Digital Transformation in Music Education: An Analysis of Teacher Competencies in the Light of TPACK and International Frameworks,"Şehriban Koca (Department of Musicology, Faculty of Music and Performing Arts, Mersin University, Mersin 33110, Türkiye) | Atakan Kutlu (Development Foundation Private Mersin Schools, Middle East Technical University, Mersin 33250, Türkiye) | Hazan Kurtaslan (Department of Music, Faculty of Fine Arts, Akdeniz University, Antalya 07030, Türkiye) | Ümran Ezgi Güleken (Department of Music, Faculty of Fine Arts, Erciyes University, Kayseri 38040, Türkiye) | Ahmet Can Çakal (Department of Music, Faculty of Architecture, Design and Fine Arts, Osmaniye Korkut Ata University, Osmaniye 80000, Türkiye)",5,Sustainability,2071-1050,MDPI AG,journal-article,18,7,3640,2026-4-7,0,0,37,True,https://creativecommons.org/licenses/by/4.0/,TR,Mersin Üniversitesi; Akdeniz University; Erciyes University; Osmaniye Korkut Ata University,Digital literacy(0.70); Digital transformation(0.65); Scope (computer science)(0.57); Meaning (existential)(0.56); Sustainability(0.54); Digital audio(0.46),,W7151868998,crossref+openalex
157,2026,Zhuang,B,10.1038/s41598-026-45673-0,Teaching activity design and psychological practice of music majors under a convolutional neural network and transformer module,Tingting Zhuang | Xiaohua Wang | Dongyun Chang,3,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2026-3-22,1,1,47,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Qinghai Normal University,Transformer(0.76); Computer science(0.72); Convolutional neural network(0.58); Artificial neural network(0.41); Artificial intelligence(0.40); Human–computer interaction(0.36),,W7140025974,crossref+openalex
159,2024,Bosman,C,10.1080/0144929X.2022.2158371,The effect of audio on the experience in virtual reality: a scoping review,"Isak de Villiers Bosman (Virtual Reality and Interaction Lab, Department of Information Science, University of Pretoria, Pretoria, South Africa; Gamification Group, Faculty of Technology and Communication Sciences, Tampere University, Tampere, Finland) | Oğuz ‘Oz’ Buruk (Gamification Group, Faculty of Technology and Communication Sciences, Tampere University, Tampere, Finland) | Kristine Jørgensen (Department of Information Science and Media Studies, University of Bergen, Bergen, Norway) | Juho Hamari (Gamification Group, Faculty of Technology and Communication Sciences, Tampere University, Tampere, Finland)",4,Behaviour &amp; Information Technology,"0144-929X,1362-3001",Informa UK Limited,journal-article,43,1,165-199,2023-1-2,81,83,237,True,http://creativecommons.org/licenses/by-nc-nd/4.0/,"FI,NO,ZA",Tampere University; University of Pretoria; University of Bergen,Virtual reality(0.72); Variety (cybernetics)(0.68); Human–computer interaction(0.56); Computer science(0.52); Context (archaeology)(0.51); Multimedia(0.47),,W4313405549,crossref+openalex
160,2024,Pianda,D,10.1080/23311975.2024.2386465,The impact of internship experience on the employability of vocational students: a bibliometric and systematic review,"Didi Pianda (Department of Management Science, Faculty of Economic and Business, Universitas Padjadjaran, West Java, Indonesia) | Hilmiana Hilmiana (Department of Management Science, Faculty of Economic and Business, Universitas Padjadjaran, West Java, Indonesia) | Sunu Widianto (Department of Management Science, Faculty of Economic and Business, Universitas Padjadjaran, West Java, Indonesia) | Dina Sartika (Department of Management Science, Faculty of Economic and Business, Universitas Padjadjaran, West Java, Indonesia)",4,Cogent Business &amp; Management,2331-1975,Informa UK Limited,journal-article,11,1,,2024-8-10,33,32,138,True,http://creativecommons.org/licenses/by/4.0/,ID,Padjadjaran University,Employability(0.90); Internship(0.90); Vocational education(0.69); Systematic review(0.56); Psychology(0.47); Medical education(0.46),,W4401482805,crossref+openalex
161,2024,Barroso-Osuna,B,10.6018/red.602301,El impacto de las apps móviles y la carga del trabajo en la Educación Musical universitaria: un estudio experimental,Julio Barroso-Osuna | Antonio León-Garrido | Carmen Llorente-Cejudo | Julio Ruiz-Palmero,4,Revista de Educación a Distancia (RED),1578-7680,Servicio de Publicaciones de la Universidad de Murcia,journal-article,24,80,,2024-7-30,0,2,0,True,http://creativecommons.org/licenses/by-nc/4.0,ES,Universidad de Sevilla; Universidad de Málaga,Humanities(0.74); Art(0.40),,W4401516499,crossref+openalex
162,2026,Raimbergenov,C,10.5216/mh.v26.84759,The study of musical art as a factor in the preservation and development of cultural heritage,Abdulkhamit Raimbergenov | Yerkin Zhanaikhan | Dinara Zhanaikhan | Artur Povalyashko | Dmitriy Kovalev,5,Música Hodie,"1676-3939,2317-6776",Universidade Federal de Goias,journal-article,26,,,2026-5-30,0,0,0,True,,KZ,Kurmangazy Kazakh National Conservatory; Astana Medical University; T.K. Zhurgenov Kazakh National Academy of Arts,Cultural heritage(0.55); Inclusion (mineral)(0.54); Curriculum(0.53); Music education(0.52); Musical(0.51); Safeguarding(0.46),,W7164833646,crossref+openalex
164,2026,Tang,A,10.1007/s10791-026-10022-2,The application of deep reinforcement learning in music teaching interaction,Xiaoqing Tang,1,Discover Computing,2948-2992,Springer Science and Business Media LLC,journal-article,29,1,,2026-3-5,1,1,30,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Sichuan Conservatory of Music,Computer science(0.45); Reinforcement learning(0.41); Psychology(0.39); Reinforcement(0.37); Artificial intelligence(0.36); Human–computer interaction(0.35),,W7133595965,crossref+openalex
166,2026,Li,B,10.1007/s44163-026-01122-5,The multi-dimensional performance intelligent evaluation and feedback system for music education,Minhui Li,1,Discover Artificial Intelligence,2731-0809,Springer Science and Business Media LLC,journal-article,6,1,,2026-3-22,1,2,17,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Jiangsu Police Officer College,Computer science(0.72); Workflow(0.62); Key (lock)(0.54); Consistency (knowledge bases)(0.54); Human–computer interaction(0.45); Multimedia(0.43),Jiangsu Maritime Institute Doctoral Research Startup Project,W7140046276,crossref+openalex
168,2026,Su,B,10.1038/s41598-025-30288-8,The optimization of vocal music teaching by integrating the STEAM concept with the intelligent recommendation system,Fanbo Su | Qianping Guo,2,Scientific Reports,2045-2322,Springer Science and Business Media LLC,journal-article,16,1,,2025-12-1,1,1,45,True,https://creativecommons.org/licenses/by-nc-nd/4.0,CN,Chongqing University of Science and Technology; Chongqing University of Technology; Chongqing Normal University,Computer science(0.86); Recommender system(0.65); Artificial intelligence(0.55); Personalization(0.53); Machine learning(0.46); Deep learning(0.45),,W4416839311,crossref+openalex
170,2025,Varjosalo,C,10.1109/ACCESS.2025.3598952,The Role of VR in Education: A Two-Phase Review of Umbrella Reviews and Recent Primary Studies,"Jeri Varjosalo (Faculty of Education and Psychology, University of Jyv&#x00E4;skyl&#x00E4;, Jyv&#x00E4;skyl&#x00E4;, Finland) | Paavo Räty (Faculty of Education and Psychology, University of Jyv&#x00E4;skyl&#x00E4;, Jyv&#x00E4;skyl&#x00E4;, Finland) | Ville Heilala (Faculty of Education and Psychology, University of Jyv&#x00E4;skyl&#x00E4;, Jyv&#x00E4;skyl&#x00E4;, Finland) | Raija Hämäläinen (Faculty of Education and Psychology, University of Jyv&#x00E4;skyl&#x00E4;, Jyv&#x00E4;skyl&#x00E4;, Finland) | Tommi Kärkkäinen (Faculty of Information Technology, University of Jyv&#x00E4;skyl&#x00E4;, Jyv&#x00E4;skyl&#x00E4;, Finland)",5,IEEE Access,2169-3536,Institute of Electrical and Electronics Engineers (IEEE),journal-article,13,,145938-145952,2025,2,2,83,True,https://creativecommons.org/licenses/by/4.0/legalcode,"FI,US",Xylem (United States); University of Jyväskylä,Computer science(0.56); Virtual reality(0.50); Human–computer interaction(0.47); Phase (matter)(0.42); Physics(0.16); Quantum mechanics(0.00),"European Regional Development Fund (ERDF) through “The Systematic Creation and Strengthening Of Measures For Research, Development, and Innovation”; Research Council of Finland",W4413468527,crossref+openalex
171,2026,Li,B,10.1504/IJICT.2026.10075950,Transfer learning-based adaptive music teaching system for modulating students emotions,Mu Li,1,International Journal of Information and Communication Technology,"1466-6642,1741-8070",Inderscience Publishers,journal-article,27,6,,2026,0,0,0,True,,,,Computer science(0.80); Information and Communications Technology(0.47); Multimedia(0.44); Knowledge management(0.39); Human–computer interaction(0.34); Technology transfer(0.34),,W7125975522,crossref+openalex
172,2025,AbdRazak,D,10.55057/ijbtm.2025.7.11.56,Transfer of Training Trends and Future Research Direction: Insight from Bibliometric Analysis,,0,International Journal of Business and Technology Management,2682-7646,Asian Scholars Network,journal-article,,,,2025-12-15,0,0,0,False,,,,Transfer of training(0.59); Transfer of learning(0.56); Training (meteorology)(0.55); Psychological intervention(0.53); Thematic analysis(0.51); Knowledge management(0.51),,W7115064564,crossref+openalex
173,2026,Wang,B,10.18488/61.v14i1.4688,Utilization of music technology in secondary education in China: An in-depth study of Shandong Province,Beining Wang | Wen Fen Beh | Kenny S.L Cheah,3,International Journal of Education and Practice,"2310-3868,2311-6897",Conscientia Beam,journal-article,14,1,141-151,2026-1-9,0,0,0,True,,MY,University of Malaya,Music education(0.66); Inclusion (mineral)(0.55); Resource (disambiguation)(0.53); Pedagogy(0.45); Music technology(0.45); Psychology(0.41),,W7124242924,crossref+openalex
175,2023,Filodiritto,D,10.26352/HY09_2384-9509,Language teachers’ training courses. The need for practical strategies and resources in the light of today’s evolving educational landscape,,,ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam),,,,,,,,,0,0,True,,,,Vocabulary(0.85); Grammar(0.79); Class (philosophy)(0.74); Formative assessment(0.64); Computer science(0.50); Linguistics(0.46),,W6927612497,crossref+openalex
176,2026,IJLTER,D,,,,,,,,,,,,,,,,,,,,,,,sin_doi
177,2025,Ma,B,10.25159/1947-9417/20479,Whose Intelligence? Whose Music? Critical Reflections on AI in Music Education,Jincheng Ma | Qiang Wan,2,Education as Change,1947-9417,UNISA Press,journal-article,29,,,2025-10-30,0,0,10,True,http://creativecommons.org/licenses/by-sa/4.0,KR,Daegu Catholic University; Hanseo University,Transformative learning(0.77); Cognitive reframing(0.66); Privilege (computing)(0.65); Sociology(0.64); Epistemology(0.59); Technocracy(0.59),,W4415697270,crossref+openalex
178,2025,AbdMajid,D,10.1177/21582440251325077,Technological Empowerment in Education: A Systematic Review,"Mohamad Zuber Abd Majid (Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia) | Muhammad Helmi Norman (Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia) | Mohammad Hafiz Zaini (Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia) | Hutkemri Zulnaidi (Universiti Malaya, Kuala Lumpur, Malaysia) | Mohd Khalid Mohamad Nasir (Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia)",5,Sage Open,"2158-2440,2158-2440",SAGE Publications,journal-article,15,1,,2025-1,7,8,42,True,https://creativecommons.org/licenses/by/4.0/,MY,National University of Malaysia; University of Malaya,Empowerment(0.54); Systematic review(0.44); Sociology(0.40); Psychology(0.38); Pedagogy(0.36); Mathematics education(0.33),Universiti Kebangsaan Malaysia,W4408676165,crossref+openalex
179,2024,Vargas,C,,,,,,,,,,,,,,,,,,,,,,,sin_doi
180,2026,Liu,B,10.21203/rs.3.rs-8998934/v1,"A Systematic Review of Artificial Intelligence in Piano Education: Efficacy,Ethics, and the Transformation of the Teacher's Role (2020–2025)",LIU CHANG (Handan College),1,Research Square,,Springer Science and Business Media LLC,posted-content,,,,2026-3-8,0,0,154,True,https://creativecommons.org/licenses/by/4.0/,CN,Handan College,Piano(0.85); Psychology(0.55); Empirical research(0.44); Musical(0.41); Apprenticeship(0.38); Cognitive psychology(0.38),,W7134195709,crossref+openalex
181,2024,Deroncele-Acosta,C,10.1177/21582440241272016,Ten Essential Pillars in Artificial Intelligence for University Science Education: A Scoping Review,"Angel Deroncele-Acosta (Universidad San Ignacio de Loyola, Lima, Peru) | Omar Bellido-Valdiviezo (Universidad San Ignacio de Loyola, Lima, Peru) | María de los Ángeles Sánchez-Trujillo (Universidad San Ignacio de Loyola, Lima, Peru) | Madeleine Lourdes Palacios-Núñez (Universidad San Ignacio de Loyola, Lima, Peru) | Hernán Rueda-Garcés (Universidad San Ignacio de Loyola, Lima, Peru) | José Gregorio Brito-Garcías (Universidad San Ignacio de Loyola, Lima, Peru)",6,Sage Open,"2158-2440,2158-2440",SAGE Publications,journal-article,14,3,,2024-7,12,14,125,True,https://creativecommons.org/licenses/by/4.0/,PE,Universidad San Ignacio de Loyola,Engineering ethics(0.43); Psychology(0.40); Mathematics education(0.33); Engineering(0.31),,W4401641462,crossref+openalex
